Test#,Success?,Fuel
1,True,53.39999999999944
2,True,60.59999999999948
3,True,42.59999999999939
4,True,40.19999999999938
5,True,50.59999999999943
6,True,46.19999999999941
7,True,57.199999999999456
8,True,58.799999999999464
9,True,52.999999999999446
10,True,39.799999999999386
11,True,42.5999999999994
12,True,59.19999999999946
13,True,49.19999999999942
14,True,55.39999999999945
15,True,61.799999999999486
16,True,53.19999999999945
17,True,52.19999999999945
18,True,46.79999999999941
19,True,41.199999999999385
20,True,48.999999999999424
21,True,42.5999999999994
22,True,60.59999999999947
23,True,41.799999999999386
24,True,55.59999999999946
25,True,58.59999999999946
26,True,39.99999999999939
27,True,36.99999999999937
28,True,46.99999999999941
29,True,43.3999999999994
30,True,42.7999999999994
31,True,49.19999999999943
32,True,52.59999999999944
33,True,49.99999999999943
34,True,47.199999999999406
35,True,45.39999999999941
36,True,41.999999999999396
37,True,38.19999999999938
38,True,42.5999999999994
39,True,45.599999999999405
40,True,39.59999999999939
41,True,41.59999999999939
42,True,58.79999999999946
43,True,55.39999999999946
44,True,54.59999999999945
45,True,45.59999999999941
46,True,50.39999999999943
47,True,46.399999999999416
48,True,56.199999999999456
49,True,38.19999999999938
50,True,45.19999999999941
51,True,54.99999999999945
52,True,58.19999999999946
53,True,38.99999999999938
54,True,52.79999999999944
55,True,46.599999999999405
56,True,53.99999999999944
57,True,55.99999999999945
58,True,42.399999999999395
59,True,47.199999999999406
60,True,51.199999999999434
61,True,54.19999999999945
62,True,56.99999999999946
63,True,59.19999999999947
64,True,52.99999999999944
65,True,45.99999999999942
66,True,47.799999999999415
67,True,50.199999999999434
68,True,52.99999999999944
69,True,55.39999999999945
70,True,48.19999999999942
71,True,55.99999999999945
72,True,45.399999999999395
73,True,43.19999999999939
74,True,43.1999999999994
75,True,35.59999999999937
76,True,39.99999999999939
77,True,49.39999999999942
78,True,49.19999999999943
79,True,41.39999999999939
80,True,49.599999999999426
81,True,40.59999999999938
82,True,49.19999999999943
83,True,39.99999999999938
84,True,59.19999999999946
85,True,52.19999999999943
86,True,48.79999999999942
87,True,52.399999999999444
88,True,42.999999999999396
89,True,57.19999999999946
90,True,46.19999999999941
91,True,52.999999999999446
92,True,54.599999999999454
93,True,55.19999999999946
94,True,39.79999999999938
95,True,60.79999999999947
96,True,49.19999999999943
97,True,57.799999999999464
98,True,59.39999999999947
99,True,37.19999999999938
100,True,42.3999999999994
101,True,58.399999999999466
102,True,40.39999999999938
103,True,44.9999999999994
104,True,55.59999999999946
105,True,49.39999999999943
106,True,39.799999999999386
107,True,49.39999999999943
108,True,45.3999999999994
109,True,60.19999999999946
110,True,46.39999999999941
111,True,43.999999999999396
112,True,49.59999999999943
113,True,52.59999999999944
114,True,50.799999999999436
115,True,59.999999999999474
116,True,55.79999999999945
117,True,52.59999999999943
118,True,45.99999999999942
119,True,60.999999999999474
120,True,43.1999999999994
121,True,59.19999999999947
122,True,60.599999999999476
123,True,49.59999999999943
124,True,50.59999999999943
125,True,60.19999999999947
126,True,55.599999999999454
127,True,55.99999999999946
128,True,52.19999999999944
129,True,42.999999999999396
130,True,53.199999999999434
131,True,54.99999999999946
132,True,39.79999999999938
133,True,41.79999999999939
134,True,49.19999999999942
135,True,35.99999999999937
136,True,48.99999999999943
137,True,43.1999999999994
138,True,46.79999999999941
139,True,36.79999999999937
140,True,55.999999999999446
141,True,59.999999999999474
142,True,41.79999999999939
143,True,42.1999999999994
144,True,58.79999999999947
145,True,48.39999999999942
146,True,48.999999999999424
147,True,41.39999999999939
148,True,58.799999999999464
149,True,43.3999999999994
150,True,52.59999999999943
151,True,42.5999999999994
152,True,60.19999999999947
153,True,46.399999999999416
154,True,46.99999999999941
155,True,51.99999999999944
156,True,41.59999999999939
157,True,46.39999999999941
158,True,54.39999999999945
159,True,40.59999999999939
160,True,54.199999999999456
161,True,42.999999999999396
162,True,41.59999999999938
163,True,48.79999999999942
164,True,54.399999999999444
165,True,46.599999999999405
166,True,45.9999999999994
167,True,40.79999999999938
168,True,58.999999999999474
169,True,49.79999999999943
170,True,40.39999999999938
171,True,40.19999999999939
172,True,39.39999999999939
173,True,42.999999999999396
174,True,37.99999999999938
175,True,53.19999999999945
176,True,37.19999999999938
177,True,55.399999999999444
178,True,52.39999999999943
179,True,55.99999999999945
180,True,42.5999999999994
181,True,55.19999999999945
182,True,40.799999999999386
183,True,39.199999999999385
184,True,39.39999999999939
185,True,50.39999999999943
186,True,49.999999999999424
187,True,58.199999999999456
188,True,51.199999999999434
189,True,39.99999999999939
190,True,48.59999999999943
191,True,59.999999999999474
192,True,46.599999999999405
193,True,56.19999999999946
194,True,48.19999999999942
195,True,43.1999999999994
196,True,48.19999999999941
197,True,53.59999999999944
198,True,58.799999999999464
199,True,36.19999999999936
200,True,57.799999999999464
201,True,57.799999999999464
202,True,51.59999999999943
203,True,37.19999999999937
204,True,38.19999999999938
205,True,39.39999999999938
206,True,56.79999999999946
207,True,36.59999999999936
208,True,52.59999999999945
209,True,46.59999999999941
210,True,39.79999999999937
211,True,60.599999999999476
212,True,44.99999999999941
213,True,46.79999999999941
214,True,46.599999999999405
215,True,53.99999999999944
216,True,42.999999999999396
217,True,48.19999999999941
218,True,49.39999999999943
219,True,46.99999999999941
220,True,53.99999999999944
221,True,43.5999999999994
222,True,39.799999999999386
223,True,58.799999999999464
224,True,52.399999999999444
225,True,39.39999999999937
226,True,61.99999999999949
227,True,45.39999999999941
228,True,51.99999999999944
229,True,35.59999999999936
230,True,58.399999999999466
231,True,41.39999999999939
232,True,57.799999999999464
